#B meson
#Pb+Pb, 5TeV
#R_AA
#centrality: 0-90%
#pT	   R_AA
10.0	0.6837510059
11.0	0.6673854612
12.0	0.6564969363
13.0	0.6484910536
14.0	0.6404851708
15.0	0.6348989309
16.0	0.6319051657
17.0	0.6289114006
18.0	0.6265706420
19.0	0.6256810095
20.0	0.6247913769
21.0	0.6240167341
22.0	0.6239607775
23.0	0.6239048209
24.0	0.6238488643
25.0	0.6231220265
26.0	0.6223712286
27.0	0.6216204307
28.0	0.6220019493
29.0	0.6226788549
30.0	0.6233557604
31.0	0.6242343343
32.0	0.6252361500
33.0	0.6262379657
34.0	0.6273164406
35.0	0.6284892652
36.0	0.6296620898
37.0	0.6310454526
38.0	0.6329814779
39.0	0.6349175032
40.0	0.6368174055
41.0	0.6384042411
42.0	0.6399910767
43.0	0.6415779123
44.0	0.6428374842
45.0	0.6440728144
46.0	0.6453081446
47.0	0.6465869495
48.0	0.6478798263
49.0	0.6491727031
50.0	0.6506966780
